X Y et Catégorie
Input	Input	Output	
56	91	1
56	65	1
36	55	1
74	80	1
82	44	0
49	64	1
87	100	1
82	88	1
22	47	1
9	7	0
87	55	0
96	91	0
35	93	1
98	74	0
82	32	0
29	9	0
76	39	0
12	42	1
50	0	0
61	7	0
33	79	1
6	90	1
64	21	0
54	51	0
44	64	1
57	59	1
28	57	1
74	33	0
60	7	0
41	93	1
62	26	0
80	40	0
46	93	1
69	74	1
89	33	0
82	14	0
19	4	0
56	41	0
20	27	1
78	21	0
45	73	1
47	71	1
36	25	0
66	71	1
23	9	0
1	74	1
79	27	0
1	66	1
69	98	1
9	93	1
2	58	1
85	10	0
54	8	0
23	76	1
64	21	0
59	32	0
2	77	1
76	4	0
8	33	1
1	100	1
11	43	1
62	88	1
28	41	1
39	51	1
97	66	0
54	85	1
41	52	1
15	66	1
13	1	0
75	27	0
55	100	1
18	59	1
79	80	1
24	42	1
11	52	1
56	58	1
14	58	1
44	91	1
74	80	1
92	31	0
32	94	1
41	58	1
20	3	0
32	94	1
17	4	0
32	44	1
2	10	1
93	5	0
79	15	0
19	27	1
42	55	1
74	92	1
79	61	0
14	93	1
45	99	1
7	30	1
96	36	0
89	87	0
49	52	1
11	48	1	
